department,job_role,salary,overtime,overtime_hours,hours_worked,projects_handled,performance_rating,productivity_score,years_at_company,attrition,hourly_rate,overtime_cost,efficiency_score,high_risk
Research & Development,Research Director,12185.0,Yes,15.0,55.0,6,3.0,0.6,10,No,76.15625,1142.34375,0.0375,1
Sales,Sales Executive,10609.0,No,5.0,45.0,6,3.0,0.6,16,No,66.30625,331.53125,0.09999999999999999,0
Research & Development,Manufacturing Director,4345.0,No,5.0,45.0,4,3.0,0.6,5,No,27.15625,135.78125,0.09999999999999999,0
Research & Development,Research Scientist,2177.0,No,5.0,45.0,8,3.0,0.6,1,No,13.60625,68.03125,0.09999999999999999,0
Sales,Sales Representative,2793.0,No,5.0,45.0,8,3.0,0.6,9,No,17.45625,87.28125,0.09999999999999999,0
Sales,Sales Executive,7918.0,No,5.0,45.0,6,3.0,0.6,11,No,49.4875,247.4375,0.09999999999999999,0
Sales,Sales Executive,8789.0,No,5.0,45.0,4,3.0,0.6,10,No,54.93125,274.65625,0.09999999999999999,0
Research & Development,Research Scientist,2389.0,Yes,15.0,55.0,8,3.0,0.6,4,Yes,14.93125,223.96875,0.0375,1
Research & Development,Laboratory Technician,3212.0,No,5.0,45.0,8,3.0,0.6,2,No,20.075,100.375,0.09999999999999999,0
Research & Development,Manager,19232.0,No,5.0,45.0,7,3.0,0.6,22,No,120.2,601.0,0.09999999999999999,0
Human Resources,Human Resources,2267.0,No,5.0,45.0,3,3.0,0.6,2,No,14.16875,70.84375,0.09999999999999999,0
Sales,Manager,19517.0,No,5.0,45.0,8,3.0,0.6,7,No,121.98125,609.90625,0.09999999999999999,0
Research & Development,Laboratory Technician,2436.0,Yes,15.0,55.0,5,3.0,0.6,5,Yes,15.225,228.375,0.0375,1
Sales,Manager,16064.0,Yes,15.0,55.0,3,4.0,0.8,17,No,100.4,1506.0,0.05,0
Research & Development,Laboratory Technician,2707.0,No,5.0,45.0,3,4.0,0.8,9,Yes,16.91875,84.59375,0.13333333333333333,0
Sales,Manager,19068.0,Yes,15.0,55.0,3,3.0,0.6,33,No,119.175,1787.625,0.0375,1
Sales,Sales Representative,3931.0,No,5.0,45.0,7,3.0,0.6,4,No,24.56875,122.84375,0.09999999999999999,0
Research & Development,Laboratory Technician,3730.0,Yes,15.0,55.0,4,3.0,0.6,3,Yes,23.3125,349.6875,0.0375,1
Research & Development,Laboratory Technician,2232.0,No,5.0,45.0,8,3.0,0.6,3,No,13.95,69.75,0.09999999999999999,0
Sales,Sales Executive,4465.0,No,5.0,45.0,6,3.0,0.6,3,No,27.90625,139.53125,0.09999999999999999,0
Research & Development,Research Scientist,3072.0,No,5.0,45.0,6,3.0,0.6,1,No,19.2,96.0,0.09999999999999999,0
Research & Development,Research Scientist,3319.0,No,5.0,45.0,5,3.0,0.6,9,No,20.74375,103.71875,0.09999999999999999,0
Research & Development,Manager,19202.0,No,5.0,45.0,6,3.0,0.6,24,No,120.0125,600.0625,0.09999999999999999,0
Research & Development,Research Director,13675.0,No,5.0,45.0,5,3.0,0.6,2,No,85.46875,427.34375,0.09999999999999999,0
Research & Development,Research Scientist,2911.0,No,5.0,45.0,4,3.0,0.6,2,No,18.19375,90.96875,0.09999999999999999,0
Research & Development,Manufacturing Director,5957.0,No,5.0,45.0,8,3.0,0.6,11,No,37.23125,186.15625,0.09999999999999999,0
Research & Development,Research Scientist,3920.0,No,5.0,45.0,7,3.0,0.6,3,No,24.5,122.5,0.09999999999999999,0
Research & Development,Manufacturing Director,6434.0,No,5.0,45.0,8,3.0,0.6,3,No,40.2125,201.0625,0.09999999999999999,0
Research & Development,Manufacturing Director,10048.0,No,5.0,45.0,5,3.0,0.6,1,Yes,62.8,314.0,0.09999999999999999,0
Research & Development,Healthcare Representative,10938.0,No,5.0,45.0,3,4.0,0.8,19,No,68.3625,341.8125,0.13333333333333333,0
Research & Development,Research Scientist,2340.0,No,5.0,45.0,4,3.0,0.6,6,No,14.625,73.125,0.09999999999999999,0
Research & Development,Research Scientist,6545.0,Yes,15.0,55.0,3,3.0,0.6,3,No,40.90625,613.59375,0.0375,1
Sales,Sales Executive,6931.0,No,5.0,45.0,8,3.0,0.6,3,No,43.31875,216.59375,0.09999999999999999,0
Research & Development,Manufacturing Director,4898.0,No,5.0,45.0,6,3.0,0.6,4,No,30.6125,153.0625,0.09999999999999999,0
Research & Development,Laboratory Technician,2593.0,Yes,15.0,55.0,6,3.0,0.6,9,No,16.20625,243.09375,0.0375,1
Research & Development,Research Director,19436.0,No,5.0,45.0,7,3.0,0.6,21,No,121.475,607.375,0.09999999999999999,0
Research & Development,Research Scientist,2723.0,No,5.0,45.0,6,3.0,0.6,1,No,17.01875,85.09375,0.09999999999999999,0
Research & Development,Laboratory Technician,3479.0,No,5.0,45.0,4,3.0,0.6,5,Yes,21.74375,108.71875,0.09999999999999999,0
Research & Development,Laboratory Technician,2794.0,No,5.0,45.0,5,4.0,0.8,5,No,17.4625,87.3125,0.13333333333333333,0
Sales,Sales Executive,5249.0,No,5.0,45.0,7,3.0,0.6,8,No,32.80625,164.03125,0.09999999999999999,0
Research & Development,Laboratory Technician,2176.0,No,5.0,45.0,5,3.0,0.6,6,No,13.6,68.0,0.09999999999999999,0
Sales,Manager,16872.0,Yes,15.0,55.0,7,3.0,0.6,7,No,105.45,1581.75,0.0375,1
Research & Development,Laboratory Technician,3485.0,No,5.0,45.0,7,3.0,0.6,0,Yes,21.78125,108.90625,0.09999999999999999,0
Sales,Sales Executive,6644.0,No,5.0,45.0,3,3.0,0.6,0,No,41.525,207.625,0.09999999999999999,0
Research & Development,Healthcare Representative,5582.0,No,5.0,45.0,6,4.0,0.8,9,No,34.8875,174.4375,0.13333333333333333,0
Research & Development,Healthcare Representative,4000.0,No,5.0,45.0,6,3.0,0.6,6,No,25.0,125.0,0.09999999999999999,0
Research & Development,Healthcare Representative,13496.0,Yes,15.0,55.0,3,3.0,0.6,20,No,84.35,1265.25,0.0375,1
Research & Development,Laboratory Technician,3210.0,No,5.0,45.0,6,3.0,0.6,15,No,20.0625,100.3125,0.09999999999999999,0
Research & Development,Manager,19045.0,Yes,15.0,55.0,5,3.0,0.6,36,No,119.03125,1785.46875,0.0375,1
Research & Development,Manager,11849.0,Yes,15.0,55.0,6,3.0,0.6,10,Yes,74.05625,1110.84375,0.0375,1
Research & Development,Research Scientist,2070.0,No,5.0,45.0,5,4.0,0.8,5,No,12.9375,64.6875,0.13333333333333333,0
Sales,Sales Executive,6502.0,No,5.0,45.0,4,3.0,0.6,5,No,40.6375,203.1875,0.09999999999999999,0
Research & Development,Research Scientist,3230.0,No,5.0,45.0,5,3.0,0.6,3,No,20.1875,100.9375,0.09999999999999999,0
Research & Development,Research Director,13603.0,Yes,15.0,55.0,5,3.0,0.6,5,No,85.01875,1275.28125,0.0375,1
Research & Development,Manager,11996.0,No,5.0,45.0,6,3.0,0.6,7,No,74.975,374.875,0.09999999999999999,0
Sales,Sales Executive,5605.0,Yes,15.0,55.0,3,4.0,0.8,8,No,35.03125,525.46875,0.05,0
Research & Development,Manufacturing Director,6397.0,No,5.0,45.0,7,4.0,0.8,6,No,39.98125,199.90625,0.13333333333333333,0
Research & Development,Research Director,19144.0,No,5.0,45.0,5,3.0,0.6,10,No,119.65,598.25,0.09999999999999999,0
Research & Development,Research Director,17584.0,Yes,15.0,55.0,6,3.0,0.6,5,No,109.9,1648.5,0.0375,1
Sales,Sales Executive,4907.0,No,5.0,45.0,7,4.0,0.8,20,No,30.66875,153.34375,0.13333333333333333,0
Sales,Sales Executive,4554.0,No,5.0,45.0,8,3.0,0.6,10,No,28.4625,142.3125,0.09999999999999999,0
Research & Development,Laboratory Technician,5415.0,Yes,15.0,55.0,3,3.0,0.6,10,No,33.84375,507.65625,0.0375,1
Research & Development,Healthcare Representative,4741.0,Yes,15.0,55.0,8,3.0,0.6,5,No,29.63125,444.46875,0.0375,1
Research & Development,Research Scientist,2115.0,No,5.0,45.0,5,3.0,0.6,17,No,13.21875,66.09375,0.09999999999999999,0
Research & Development,Laboratory Technician,3161.0,Yes,15.0,55.0,3,4.0,0.8,1,Yes,19.75625,296.34375,0.05,0
Research & Development,Healthcare Representative,5745.0,No,5.0,45.0,7,3.0,0.6,2,No,35.90625,179.53125,0.09999999999999999,0
Research & Development,Laboratory Technician,2373.0,Yes,15.0,55.0,5,3.0,0.6,3,Yes,14.83125,222.46875,0.0375,1
Research & Development,Research Scientist,3310.0,No,5.0,45.0,4,4.0,0.8,5,No,20.6875,103.4375,0.13333333333333333,0
Research & Development,Research Director,18665.0,Yes,15.0,55.0,8,3.0,0.6,3,No,116.65625,1749.84375,0.0375,1
Research & Development,Research Scientist,4485.0,No,5.0,45.0,3,3.0,0.6,8,No,28.03125,140.15625,0.09999999999999999,0
Sales,Sales Representative,2789.0,No,5.0,45.0,3,3.0,0.6,2,No,17.43125,87.15625,0.09999999999999999,0
Sales,Sales Executive,5828.0,Yes,15.0,55.0,4,3.0,0.6,8,Yes,36.425,546.375,0.0375,1
Research & Development,Research Scientist,2326.0,Yes,15.0,55.0,5,3.0,0.6,4,No,14.5375,218.0625,0.0375,1
Sales,Sales Executive,13525.0,No,5.0,45.0,6,3.0,0.6,20,No,84.53125,422.65625,0.09999999999999999,0
Research & Development,Laboratory Technician,1420.0,No,5.0,45.0,3,3.0,0.6,0,Yes,8.875,44.375,0.09999999999999999,0
Sales,Sales Executive,8020.0,No,5.0,45.0,6,3.0,0.6,11,No,50.125,250.625,0.09999999999999999,0
Research & Development,Laboratory Technician,3688.0,No,5.0,45.0,6,3.0,0.6,1,No,23.05,115.25,0.09999999999999999,0
Research & Development,Manufacturing Director,5482.0,No,5.0,45.0,4,3.0,0.6,4,No,34.2625,171.3125,0.09999999999999999,0
Sales,Manager,16015.0,No,5.0,45.0,5,3.0,0.6,22,No,100.09375,500.46875,0.09999999999999999,0
Sales,Sales Representative,1200.0,No,5.0,45.0,8,3.0,0.6,0,No,7.5,37.5,0.09999999999999999,0
Research & Development,Healthcare Representative,5661.0,No,5.0,45.0,7,3.0,0.6,8,No,35.38125,176.90625,0.09999999999999999,0
Sales,Sales Executive,6929.0,No,5.0,45.0,5,3.0,0.6,8,No,43.30625,216.53125,0.09999999999999999,0
Research & Development,Healthcare Representative,9613.0,No,5.0,45.0,6,3.0,0.6,18,No,60.08125,300.40625,0.09999999999999999,0
Research & Development,Laboratory Technician,5674.0,No,5.0,45.0,3,3.0,0.6,9,No,35.4625,177.3125,0.09999999999999999,0
Sales,Sales Executive,5484.0,No,5.0,45.0,7,3.0,0.6,13,No,34.275,171.375,0.09999999999999999,0
Research & Development,Research Director,12061.0,No,5.0,45.0,6,3.0,0.6,10,No,75.38125,376.90625,0.09999999999999999,0
Research & Development,Healthcare Representative,5660.0,Yes,15.0,55.0,7,3.0,0.6,5,No,35.375,530.625,0.0375,1
Research & Development,Research Scientist,4821.0,Yes,15.0,55.0,8,3.0,0.6,5,No,30.13125,451.96875,0.0375,1
Human Resources,Human Resources,6410.0,No,5.0,45.0,5,3.0,0.6,2,No,40.0625,200.3125,0.09999999999999999,0
Research & Development,Laboratory Technician,5210.0,No,5.0,45.0,5,3.0,0.6,24,No,32.5625,162.8125,0.09999999999999999,0
Research & Development,Research Scientist,2695.0,Yes,15.0,55.0,6,3.0,0.6,2,No,16.84375,252.65625,0.0375,1
Research & Development,Manager,11878.0,No,5.0,45.0,6,3.0,0.6,10,No,74.2375,371.1875,0.09999999999999999,0
Research & Development,Manager,17068.0,Yes,15.0,55.0,7,3.0,0.6,21,No,106.675,1600.125,0.0375,1
Research & Development,Laboratory Technician,2455.0,No,5.0,45.0,5,3.0,0.6,8,No,15.34375,76.71875,0.09999999999999999,0
Research & Development,Healthcare Representative,13964.0,Yes,15.0,55.0,7,3.0,0.6,7,No,87.275,1309.125,0.0375,1
Research & Development,Research Scientist,4941.0,No,5.0,45.0,7,3.0,0.6,8,Yes,30.88125,154.40625,0.09999999999999999,0
Research & Development,Research Scientist,2478.0,Yes,15.0,55.0,4,3.0,0.6,4,No,15.4875,232.3125,0.0375,1
Sales,Sales Executive,5228.0,Yes,15.0,55.0,8,3.0,0.6,13,No,32.675,490.12499999999994,0.0375,1
Sales,Sales Executive,4478.0,Yes,15.0,55.0,5,3.0,0.6,5,No,27.9875,419.8125,0.0375,1
Sales,Sales Executive,7547.0,No,5.0,45.0,8,3.0,0.6,7,No,47.16875,235.84375,0.09999999999999999,0
Research & Development,Research Scientist,5055.0,No,5.0,45.0,6,3.0,0.6,7,No,31.59375,157.96875,0.09999999999999999,0
Research & Development,Research Scientist,3464.0,Yes,15.0,55.0,7,3.0,0.6,3,Yes,21.65,324.75,0.0375,1
Research & Development,Research Scientist,5775.0,No,5.0,45.0,8,3.0,0.6,10,No,36.09375,180.46875,0.09999999999999999,0
Research & Development,Manufacturing Director,8943.0,No,5.0,45.0,7,4.0,0.8,10,No,55.89375,279.46875,0.13333333333333333,0
Research & Development,Manager,19272.0,No,5.0,45.0,8,3.0,0.6,21,No,120.45,602.25,0.09999999999999999,0
Sales,Sales Executive,5238.0,Yes,15.0,55.0,4,3.0,0.6,1,Yes,32.7375,491.06249999999994,0.0375,1
Sales,Sales Executive,4682.0,No,5.0,45.0,5,3.0,0.6,7,No,29.2625,146.3125,0.09999999999999999,0
Research & Development,Research Director,18300.0,No,5.0,45.0,7,3.0,0.6,3,No,114.375,571.875,0.09999999999999999,0
Research & Development,Laboratory Technician,5257.0,No,5.0,45.0,5,3.0,0.6,9,No,32.85625,164.28125,0.09999999999999999,0
Sales,Sales Executive,6349.0,Yes,15.0,55.0,3,3.0,0.6,5,No,39.68125,595.21875,0.0375,1
Research & Development,Research Scientist,4869.0,No,5.0,45.0,6,3.0,0.6,4,No,30.43125,152.15625,0.09999999999999999,0
Research & Development,Healthcare Representative,9985.0,No,5.0,45.0,5,3.0,0.6,1,No,62.40625,312.03125,0.09999999999999999,0
Research & Development,Research Scientist,3697.0,No,5.0,45.0,8,3.0,0.6,10,No,23.10625,115.53125,0.09999999999999999,0
Sales,Sales Executive,7457.0,Yes,15.0,55.0,6,4.0,0.8,4,No,46.60625,699.09375,0.05,0
Research & Development,Laboratory Technician,2119.0,Yes,15.0,55.0,3,3.0,0.6,7,Yes,13.24375,198.65625,0.0375,1
Research & Development,Laboratory Technician,3983.0,No,5.0,45.0,6,3.0,0.6,3,No,24.89375,124.46875,0.09999999999999999,0
Sales,Sales Executive,6118.0,No,5.0,45.0,4,3.0,0.6,10,No,38.2375,191.1875,0.09999999999999999,0
Sales,Sales Executive,6214.0,No,5.0,45.0,3,3.0,0.6,8,No,38.8375,194.1875,0.09999999999999999,0
Research & Development,Manufacturing Director,6347.0,No,5.0,45.0,8,3.0,0.6,6,No,39.66875,198.34375,0.09999999999999999,0
Research & Development,Research Director,11510.0,Yes,15.0,55.0,6,3.0,0.6,11,No,71.9375,1079.0625,0.0375,1
Research & Development,Manufacturing Director,7143.0,Yes,15.0,55.0,6,3.0,0.6,11,No,44.64375,669.65625,0.0375,1
Sales,Sales Executive,8268.0,Yes,15.0,55.0,7,3.0,0.6,7,No,51.675,775.125,0.0375,1
Research & Development,Manufacturing Director,8095.0,No,5.0,45.0,5,3.0,0.6,16,No,50.59375,252.96875,0.09999999999999999,0
Research & Development,Research Scientist,2904.0,No,5.0,45.0,8,3.0,0.6,4,No,18.15,90.75,0.09999999999999999,0
Research & Development,Manufacturing Director,6032.0,Yes,15.0,55.0,4,3.0,0.6,5,No,37.7,565.5,0.0375,1
Sales,Sales Representative,2976.0,No,5.0,45.0,3,3.0,0.6,0,No,18.6,93.0,0.09999999999999999,0
Research & Development,Research Director,15992.0,No,5.0,45.0,3,3.0,0.6,1,No,99.95,499.75,0.09999999999999999,0
Sales,Sales Executive,4649.0,No,5.0,45.0,8,3.0,0.6,4,No,29.05625,145.28125,0.09999999999999999,0
Human Resources,Human Resources,2696.0,Yes,15.0,55.0,4,3.0,0.6,3,No,16.85,252.75000000000003,0.0375,1
Research & Development,Laboratory Technician,2370.0,No,5.0,45.0,5,3.0,0.6,8,No,14.8125,74.0625,0.09999999999999999,0
Sales,Manager,12504.0,No,5.0,45.0,6,4.0,0.8,0,No,78.15,390.75,0.13333333333333333,0
Research & Development,Research Scientist,5974.0,Yes,15.0,55.0,5,3.0,0.6,7,No,37.3375,560.0625,0.0375,1
Sales,Sales Executive,4736.0,Yes,15.0,55.0,3,3.0,0.6,2,No,29.6,444.0,0.0375,1
Sales,Sales Executive,5296.0,No,5.0,45.0,7,3.0,0.6,8,No,33.1,165.5,0.09999999999999999,0
Research & Development,Healthcare Representative,6781.0,No,5.0,45.0,3,4.0,0.8,1,No,42.38125,211.90625,0.13333333333333333,0
Sales,Sales Representative,2174.0,Yes,15.0,55.0,3,3.0,0.6,3,Yes,13.5875,203.8125,0.0375,1
Sales,Sales Executive,6653.0,No,5.0,45.0,6,3.0,0.6,1,No,41.58125,207.90625,0.09999999999999999,0
Sales,Sales Executive,9699.0,No,5.0,45.0,4,3.0,0.6,13,No,60.61875,303.09375,0.09999999999999999,0
Research & Development,Healthcare Representative,6755.0,No,5.0,45.0,8,3.0,0.6,3,No,42.21875,211.09375,0.09999999999999999,0
Research & Development,Laboratory Technician,2213.0,Yes,15.0,55.0,3,3.0,0.6,7,No,13.83125,207.46875,0.0375,1
Sales,Sales Representative,2610.0,No,5.0,45.0,4,4.0,0.8,3,No,16.3125,81.5625,0.13333333333333333,0
Sales,Sales Representative,2851.0,Yes,15.0,55.0,6,3.0,0.6,1,Yes,17.81875,267.28125,0.0375,1
Research & Development,Laboratory Technician,3452.0,No,5.0,45.0,3,4.0,0.8,5,No,21.575,107.875,0.13333333333333333,0
Research & Development,Manufacturing Director,5258.0,No,5.0,45.0,7,3.0,0.6,1,No,32.8625,164.3125,0.09999999999999999,0
Sales,Sales Executive,9355.0,No,5.0,45.0,8,3.0,0.6,8,Yes,58.46875,292.34375,0.09999999999999999,0
Research & Development,Healthcare Representative,10496.0,No,5.0,45.0,4,3.0,0.6,4,No,65.6,328.0,0.09999999999999999,0
Sales,Sales Executive,6380.0,Yes,15.0,55.0,3,3.0,0.6,6,Yes,39.875,598.125,0.0375,1
Research & Development,Research Scientist,2657.0,Yes,15.0,55.0,6,3.0,0.6,2,No,16.60625,249.09375,0.0375,1
Sales,Sales Representative,2716.0,No,5.0,45.0,3,3.0,0.6,1,Yes,16.975,84.875,0.09999999999999999,0
Research & Development,Research Scientist,2201.0,No,5.0,45.0,4,3.0,0.6,3,No,13.75625,68.78125,0.09999999999999999,0
Research & Development,Healthcare Representative,6540.0,No,5.0,45.0,6,3.0,0.6,1,No,40.875,204.375,0.09999999999999999,0
Research & Development,Laboratory Technician,3816.0,No,5.0,45.0,5,3.0,0.6,5,No,23.85,119.25,0.09999999999999999,0
Sales,Sales Executive,5253.0,No,5.0,45.0,6,3.0,0.6,7,No,32.83125,164.15625,0.09999999999999999,0
Research & Development,Healthcare Representative,10965.0,No,5.0,45.0,5,4.0,0.8,5,No,68.53125,342.65625,0.13333333333333333,0
Sales,Sales Executive,4936.0,No,5.0,45.0,5,3.0,0.6,7,No,30.85,154.25,0.09999999999999999,0
Research & Development,Research Scientist,2543.0,No,5.0,45.0,6,3.0,0.6,2,No,15.89375,79.46875,0.09999999999999999,0
Sales,Sales Executive,5304.0,Yes,15.0,55.0,5,3.0,0.6,5,Yes,33.15,497.25,0.0375,1
Research & Development,Manager,16659.0,Yes,15.0,55.0,5,3.0,0.6,5,No,104.11875,1561.78125,0.0375,1
Sales,Sales Executive,4260.0,Yes,15.0,55.0,7,3.0,0.6,5,No,26.625,399.375,0.0375,1
Sales,Sales Representative,2476.0,No,5.0,45.0,3,3.0,0.6,1,No,15.475,77.375,0.09999999999999999,0
Research & Development,Research Scientist,3102.0,No,5.0,45.0,5,4.0,0.8,6,Yes,19.3875,96.9375,0.13333333333333333,0
Research & Development,Research Scientist,2244.0,No,5.0,45.0,7,3.0,0.6,2,No,14.025,70.125,0.09999999999999999,0
Sales,Sales Executive,7596.0,No,5.0,45.0,4,3.0,0.6,10,No,47.475,237.375,0.09999999999999999,0
Research & Development,Research Scientist,2285.0,Yes,15.0,55.0,5,4.0,0.8,1,Yes,14.28125,214.21875,0.05,0
Research & Development,Laboratory Technician,3034.0,No,5.0,45.0,5,3.0,0.6,18,No,18.9625,94.8125,0.09999999999999999,0
Sales,Sales Executive,5715.0,No,5.0,45.0,8,3.0,0.6,5,No,35.71875,178.59375,0.09999999999999999,0
Research & Development,Laboratory Technician,2576.0,No,5.0,45.0,4,3.0,0.6,5,No,16.1,80.5,0.09999999999999999,0
Research & Development,Manufacturing Director,4197.0,Yes,15.0,55.0,7,3.0,0.6,1,No,26.23125,393.46875,0.0375,1
Research & Development,Research Director,14336.0,No,5.0,45.0,4,3.0,0.6,25,No,89.6,448.0,0.09999999999999999,0
Research & Development,Laboratory Technician,3448.0,No,5.0,45.0,7,4.0,0.8,1,No,21.55,107.75,0.13333333333333333,0
Research & Development,Research Director,19406.0,No,5.0,45.0,6,3.0,0.6,4,No,121.2875,606.4375,0.09999999999999999,0
Sales,Sales Executive,6538.0,No,5.0,45.0,3,3.0,0.6,3,No,40.8625,204.3125,0.09999999999999999,0
Research & Development,Manufacturing Director,4306.0,No,5.0,45.0,6,3.0,0.6,13,No,26.9125,134.5625,0.09999999999999999,0
Research & Development,Laboratory Technician,2258.0,No,5.0,45.0,7,4.0,0.8,3,No,14.1125,70.5625,0.13333333333333333,0
Research & Development,Healthcare Representative,4522.0,Yes,15.0,55.0,3,3.0,0.6,5,No,28.2625,423.9375,0.0375,1
Sales,Sales Executive,4487.0,Yes,15.0,55.0,8,3.0,0.6,5,No,28.04375,420.65625,0.0375,1
Research & Development,Research Scientist,4449.0,Yes,15.0,55.0,8,3.0,0.6,13,No,27.80625,417.09375,0.0375,1
Research & Development,Laboratory Technician,2218.0,No,5.0,45.0,7,3.0,0.6,4,No,13.8625,69.3125,0.09999999999999999,0
Research & Development,Manager,19197.0,Yes,15.0,55.0,7,3.0,0.6,21,No,119.98125,1799.71875,0.0375,1
Sales,Sales Executive,13212.0,No,5.0,45.0,3,3.0,0.6,7,No,82.575,412.875,0.09999999999999999,0
Sales,Sales Executive,6577.0,No,5.0,45.0,3,3.0,0.6,5,No,41.10625,205.53125,0.09999999999999999,0
Sales,Sales Executive,8392.0,No,5.0,45.0,8,3.0,0.6,10,No,52.45,262.25,0.09999999999999999,0
Research & Development,Laboratory Technician,4558.0,No,5.0,45.0,6,3.0,0.6,10,No,28.4875,142.4375,0.09999999999999999,0
Research & Development,Laboratory Technician,4031.0,No,5.0,45.0,5,3.0,0.6,2,Yes,25.19375,125.96875,0.09999999999999999,0
Research & Development,Manufacturing Director,7969.0,Yes,15.0,55.0,8,3.0,0.6,5,No,49.80625,747.09375,0.0375,1
Research & Development,Research Scientist,2654.0,No,5.0,45.0,6,4.0,0.8,2,No,16.5875,82.9375,0.13333333333333333,0
Research & Development,Manager,16555.0,No,5.0,45.0,8,3.0,0.6,5,No,103.46875,517.34375,0.09999999999999999,0
Research & Development,Research Scientist,4556.0,No,5.0,45.0,6,3.0,0.6,5,No,28.475,142.375,0.09999999999999999,0
Research & Development,Manufacturing Director,6091.0,No,5.0,45.0,7,4.0,0.8,5,No,38.06875,190.34375,0.13333333333333333,0
Research & Development,Manager,19566.0,No,5.0,45.0,5,3.0,0.6,29,No,122.2875,611.4375,0.09999999999999999,0
Research & Development,Manufacturing Director,4810.0,No,5.0,45.0,8,3.0,0.6,10,No,30.0625,150.3125,0.09999999999999999,0
Research & Development,Healthcare Representative,4523.0,No,5.0,45.0,7,3.0,0.6,6,No,28.26875,141.34375,0.09999999999999999,0
Sales,Sales Representative,3202.0,Yes,15.0,55.0,7,3.0,0.6,5,Yes,20.0125,300.1875,0.0375,1
Sales,Sales Representative,2351.0,No,5.0,45.0,8,3.0,0.6,2,Yes,14.69375,73.46875,0.09999999999999999,0
Research & Development,Laboratory Technician,1702.0,Yes,15.0,55.0,7,4.0,0.8,1,No,10.6375,159.5625,0.05,0
Sales,Manager,18041.0,No,5.0,45.0,8,3.0,0.6,20,No,112.75625,563.78125,0.09999999999999999,0
Research & Development,Research Scientist,2886.0,No,5.0,45.0,4,4.0,0.8,3,No,18.0375,90.1875,0.13333333333333333,0
Research & Development,Laboratory Technician,2097.0,No,5.0,45.0,5,3.0,0.6,5,No,13.10625,65.53125,0.09999999999999999,0
Research & Development,Research Director,11935.0,No,5.0,45.0,6,3.0,0.6,10,No,74.59375,372.96875,0.09999999999999999,0
Research & Development,Research Scientist,2546.0,No,5.0,45.0,3,3.0,0.6,2,Yes,15.9125,79.5625,0.09999999999999999,0
Human Resources,Human Resources,2564.0,No,5.0,45.0,4,3.0,0.6,1,Yes,16.025,80.125,0.09999999999999999,0
Sales,Sales Executive,8412.0,No,5.0,45.0,4,3.0,0.6,9,No,52.575,262.875,0.09999999999999999,0
Sales,Manager,14118.0,No,5.0,45.0,3,3.0,0.6,1,No,88.2375,441.1875,0.09999999999999999,0
Research & Development,Manager,17046.0,No,5.0,45.0,6,3.0,0.6,27,No,106.5375,532.6875,0.09999999999999999,0
Research & Development,Laboratory Technician,2564.0,No,5.0,45.0,7,3.0,0.6,11,No,16.025,80.125,0.09999999999999999,0
Sales,Sales Executive,10266.0,No,5.0,45.0,6,3.0,0.6,18,No,64.1625,320.8125,0.09999999999999999,0
Research & Development,Manufacturing Director,5070.0,No,5.0,45.0,6,3.0,0.6,5,No,31.6875,158.4375,0.09999999999999999,0
Research & Development,Research Director,17861.0,No,5.0,45.0,3,3.0,0.6,3,No,111.63125,558.15625,0.09999999999999999,0
Research & Development,Laboratory Technician,4230.0,No,5.0,45.0,8,3.0,0.6,5,No,26.4375,132.1875,0.09999999999999999,0
Research & Development,Laboratory Technician,3780.0,No,5.0,45.0,8,3.0,0.6,1,No,23.625,118.125,0.09999999999999999,0
Research & Development,Research Scientist,2768.0,No,5.0,45.0,3,3.0,0.6,7,No,17.3,86.5,0.09999999999999999,0
Sales,Sales Executive,9071.0,Yes,15.0,55.0,6,3.0,0.6,3,No,56.69375,850.40625,0.0375,1
Research & Development,Manufacturing Director,10648.0,No,5.0,45.0,7,4.0,0.8,13,No,66.55,332.75,0.13333333333333333,0
Research & Development,Manager,13610.0,Yes,15.0,55.0,4,3.0,0.6,7,Yes,85.0625,1275.9375,0.0375,1
Research & Development,Laboratory Technician,3408.0,No,5.0,45.0,4,3.0,0.6,4,Yes,21.3,106.5,0.09999999999999999,0
Sales,Sales Representative,2983.0,No,5.0,45.0,3,3.0,0.6,3,No,18.64375,93.21875,0.09999999999999999,0
Research & Development,Healthcare Representative,7632.0,Yes,15.0,55.0,5,3.0,0.6,8,No,47.7,715.5,0.0375,1
Research & Development,Healthcare Representative,9824.0,No,5.0,45.0,4,3.0,0.6,1,Yes,61.4,307.0,0.09999999999999999,0
Human Resources,Human Resources,9950.0,Yes,15.0,55.0,8,3.0,0.6,3,Yes,62.1875,932.8125,0.0375,1
Research & Development,Laboratory Technician,2093.0,No,5.0,45.0,7,3.0,0.6,2,No,13.08125,65.40625,0.09999999999999999,0
Sales,Sales Executive,9980.0,No,5.0,45.0,3,3.0,0.6,10,No,62.375,311.875,0.09999999999999999,0
Research & Development,Laboratory Technician,3894.0,No,5.0,45.0,6,3.0,0.6,2,Yes,24.3375,121.6875,0.09999999999999999,0
Sales,Sales Executive,4051.0,No,5.0,45.0,8,3.0,0.6,9,No,25.31875,126.59375,0.09999999999999999,0
Sales,Manager,16835.0,No,5.0,45.0,4,4.0,0.8,10,No,105.21875,526.09375,0.13333333333333333,0
Sales,Sales Executive,6230.0,No,5.0,45.0,7,3.0,0.6,14,No,38.9375,194.6875,0.09999999999999999,0
